name,scientific name,status,breeds in Iowa,range,habitat,preferred food sources,nesting information,months you can see them,image,image credit
Blackburnian Warbler,Setophaga fusca,uncommon,no,Breeds in northeastern and Appalachian forests; winters in northern South America,"Mature coniferous and mixed forest, high canopy","insects, caterpillars, beetles, spiders",Cup nest high in conifer branches,"May, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Blackburnian_warbler_%2871064%29.jpg/960px-Blackburnian_warbler_%2871064%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Northern Yellow Warbler,Setophaga petechia,common,yes,"Breeds across much of North America; winters in Mexico, Central America, and northern South America","Willows, wet thickets, stream edges, shrubby wetlands","insects, caterpillars, beetles, flies, spiders","Cup nest in shrubs or small trees, often willows","April, May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20240504_20240504_yellow_warbler_pleasant_valley_PD203188.jpg/960px-20240504_20240504_yellow_warbler_pleasant_valley_PD203188.jpg,"Paul Danese, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Chestnut-sided Warbler,Setophaga pensylvanica,uncommon,yes,Breeds in northeastern and north-central North America; winters in Central America,"Young forest, brushy clearings, regenerating woodland","insects, caterpillars, beetles, spiders","Cup nest low in shrubs, briars, or saplings","May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Dendroica-pensylvanica-003.jpg/960px-Dendroica-pensylvanica-003.jpg,"Mdf, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons"
Blackpoll Warbler,Setophaga striata,uncommon,no,Breeds across boreal Canada and Alaska; winters in northern South America,"Boreal spruce-fir forest, tundra-edge shrubs","insects, caterpillars, beetles, spiders, berries",Cup nest low in spruce or shrubs,"May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Blackpoll_Warbler_-_52062998294.jpg/960px-Blackpoll_Warbler_-_52062998294.jpg,"Wildreturn, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Black-throated Blue Warbler,Setophaga caerulescens,rare,no,Breeds in northeastern and Appalachian forests; winters in Caribbean,Mature deciduous and mixed forest with dense understory,"insects, caterpillars, beetles, spiders, fruit","Cup nest in low shrubs, saplings, or dense understory","May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Black-throated_blue_warbler_in_CP_%2843143%29.jpg/960px-Black-throated_blue_warbler_in_CP_%2843143%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Palm Warbler,Setophaga palmarum,uncommon,no,"Breeds in bogs and boreal wetlands; winters in southeastern U.S., Caribbean, and Central America","Boreal bogs, open wetlands, weedy fields during migration","insects, beetles, caterpillars, spiders, seeds, berries","Ground nest in bog vegetation, often near sphagnum moss","April, May, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Palm_warbler_%2890385%29.jpg/960px-Palm_warbler_%2890385%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Pine Warbler,Setophaga pinus,rare,yes,Breeds in eastern pine forests; winters in southeastern U.S. and Caribbean,"Pine woods, pine plantations, mixed pine-oak forest","insects, caterpillars, beetles, seeds, berries",Cup nest high in pine trees,"March, April, May, September, October, November",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/3322_Pine_Warbler.jpg/960px-3322_Pine_Warbler.jpg,"Vkulikov, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Yellow-rumped Warbler,Setophaga coronata,common,no,"Breeds across northern and western North America; winters widely in U.S., Mexico, and Central America",Coniferous and mixed forests; open woods and coastal scrub in winter,"insects, beetles, caterpillars, berries, fruit","Cup nest in conifers, often on horizontal branches","March, April, May, September, October, November",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Yellow-rumped_warbler_singing_%2841612%29.jpg/960px-Yellow-rumped_warbler_singing_%2841612%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Yellow-throated Warbler,Setophaga dominica,uncommon,yes,"Breeds in southeastern and central U.S.; winters in Florida, Caribbean, Mexico, and Central America","Sycamore-lined rivers, cypress swamps, pine woods","insects, caterpillars, beetles, spiders","Cup nest high in trees, often sycamore, pine, or cypress","April, May, June, July, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Yellow-throated_Warbler_-_41646025531.jpg/960px-Yellow-throated_Warbler_-_41646025531.jpg,"Wildreturn, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Prairie Warbler,Setophaga discolor,rare,yes,"Breeds in eastern U.S.; winters in Florida, Caribbean, and Central America","Shrubby fields, pine barrens, young forest, dry scrub","insects, caterpillars, beetles, spiders",Cup nest low in shrubs or saplings,"April, May, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Prairie_Warbler_-_26675305231.jpg/960px-Prairie_Warbler_-_26675305231.jpg,"Wildreturn, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Black-throated Green Warbler,Setophaga virens,uncommon,no,"Breeds in eastern and northern forests; winters in Mexico, Central America, and Caribbean","Coniferous and mixed forests, hemlock, spruce, pine","insects, caterpillars, beetles, spiders",Cup nest in conifers or mixed forest trees,"April, May, August, September, October",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Black-throated_green_warbler_in_PP_%2814050%29.jpg/960px-Black-throated_green_warbler_in_PP_%2814050%29.jpg,"Rhododendrites, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Canada Warbler,Cardellina canadensis,uncommon,no,Breeds in Canada and northeastern U.S.; winters in northern South America,"Moist forest, streamside thickets, boggy woods, dense understory","insects, flies, caterpillars, beetles, spiders","Ground or low nest hidden in moss, roots, or dense vegetation","May, August, September",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/8G7D5475-Canada.jpg/960px-8G7D5475-Canada.jpg,"William H. Majoros, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
